"keys", "index_names", "sign"
"revenue", "us-gaap_Revenues", pos
"cost_of_revenue", "us-gaap_CostOfRevenue", pos
"gross_profit", "us-gaap_GrossProfit", pos
"research_and_development", "us-gaap_ResearchAndDevelopmentExpense", pos
"sales_general_administration", "us-gaap_SellingGeneralAndAdmi nistrativeExpense", pos
"aquisition_termination_cost", "nvda_BusinessCombinationAdvancedConsiderationWrittenOff", pos
"operating_expense", "us-gaap_OperatingExpenses", pos
"investment_income_interest", "us-gaap_InvestmentIncomeInterest", pos
"interest_expense", "us-gaap_InterestExpense", pos
"other_non_operating_income", "us-gaap_OtherNonoperatingIncomeExpense", pos
"net_non_operating_income", "us-gaap_NonoperatingIncomeExpense", pos
"income_bt", "us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest", pos
"income_tax_expense", "us-gaap_IncomeTaxExpenseBenefit", pos
"net_income", "us-gaap_NetIncomeLoss", pos
"income_per_share_basic", "us-gaap_EarningsPerShareBasic", pos
"income_per_share_diluted", "us-gaap_EarningsPerShareDiluted", pos
"shares_outstanding_basic", "us-gaap_WeightedAverageNumberOfSharesOutstandingBasic", pos
"shares_outstanding_diluted", "us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding", pos
"cash_flows_from_operating_activities", "us-gaap_NetCashProvidedByUsedInOperatingActivitiesAbstract", pos
"share_based_combination", "us-gaap_ShareBasedCompensation", pos
"depreciation_and_amortization", "us-gaap_DepreciationDepletionAndAmortization", pos
"losses_on_investments", "us-gaap_GainLossOnInvestments", pos
"deferred_income_tax", "us-gaap_DeferredIncomeTaxExpenseBenefit", pos
"other_non_cash_income_expense", "us-gaap_OtherNoncashIncomeExpense", pos
"accounts_receivable", "us-gaap_IncreaseDecreaseInAccountsReceivable", pos
"inventory", "us-gaap_IncreaseDecreaseInInventories", pos
"0", "us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets", pos
"0", "us-gaap_IncreaseDecreaseInAccountsPayable", pos
"0", "us-gaap_IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities", pos
"0", "us-gaap_IncreaseDecreaseInOtherNoncurrentLiabilities", pos
"0", "us-gaap_NetCashProvidedByUsedInOperatingActivities", pos
"0", "us-gaap_ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities", pos
"0", "us-gaap_ProceedsFromSaleOfAvailableForSaleSecuritiesDebt", pos
"0", "us-gaap_PaymentsToAcquireAvailableForSaleSecuritiesDebt", pos
"0", "us-gaap_PaymentsToAcquireProductiveAssets", pos
"0", "us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired", pos
"0", "us-gaap_PaymentsForProceedsFromOtherInvestingActivities", pos
"0", "us-gaap_NetCashProvidedByUsedInInvestingActivities", pos
"0", "nvda_NetProceedsPaymentsRelatedToEmployeeStockPlans", pos
"0", "us-gaap_PaymentsForRepurchaseOfCommonStock", pos
"0", "us-gaap_RepaymentsOfDebt", pos
"0", "us-gaap_PaymentsRelatedToTaxWithholdingForShareBasedCompensation", pos
"0", "us-gaap_PaymentsOfDividends", pos
"0", "nvda_PaymentsForFinancedPropertyPlantAndEquipmentAndIntangibleAssetsFinancingActivities", pos
"0", "us-gaap_ProceedsFromPaymentsForOtherFinancingActivities", pos
"0", "us-gaap_NetCashProvidedByUsedInFinancingActivities", pos
"0", "us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect", pos
"0", "us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents", pos
"0", "us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents", pos
"0", "us-gaap_IncomeTaxesPaidNet", pos
