,accession_number,statement_name,statement_link
24,000104581015000036,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581015000036/R25.htm
39,000104581015000036,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581015000036/R40.htm
58,000104581015000036,segment information (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581015000036/R59.htm
59,000104581015000036,segment information revenue and long-lived assets by region (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581015000036/R60.htm
60,000104581015000036,segment information revenue and accounts receivable by major customer (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581015000036/R61.htm
61,000104581015000036,segment information schedule of accounts receivable by major customers (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581015000036/R62.htm
17,000104581015000097,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581015000097/R18.htm
28,000104581015000097,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581015000097/R29.htm
39,000104581015000097,segment information (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581015000097/R40.htm
17,000104581015000143,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581015000143/R18.htm
28,000104581015000143,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581015000143/R29.htm
41,000104581015000143,segment information (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581015000143/R42.htm
18,000104581015000173,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581015000173/R19.htm
31,000104581015000173,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581015000173/R32.htm
45,000104581015000173,segment information (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581015000173/R46.htm
22,000104581016000205,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581016000205/R23.htm
39,000104581016000205,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581016000205/R40.htm
59,000104581016000205,segment information (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581016000205/R60.htm
60,000104581016000205,segment information revenue and long-lived assets by region (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581016000205/R61.htm
61,000104581016000205,segment information revenue and accounts receivable by major customer (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581016000205/R62.htm
62,000104581016000205,segment information schedule of accounts receivable by major customers (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581016000205/R63.htm
63,000104581016000205,segment information schedule of revenue by market (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581016000205/R64.htm
18,000104581016000275,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581016000275/R19.htm
29,000104581016000275,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581016000275/R30.htm
43,000104581016000275,segment information (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581016000275/R44.htm
18,000104581016000300,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581016000300/R19.htm
29,000104581016000300,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581016000300/R30.htm
43,000104581016000300,segment information (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581016000300/R44.htm
18,000104581016000353,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581016000353/R19.htm
30,000104581016000353,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581016000353/R31.htm
45,000104581016000353,segment information (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581016000353/R46.htm
22,000104581017000027,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581017000027/R23.htm
38,000104581017000027,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581017000027/R39.htm
58,000104581017000027,segment information (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581017000027/R59.htm
59,000104581017000027,segment information revenue and long-lived assets by region (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581017000027/R60.htm
60,000104581017000027,segment information revenue and accounts receivable by major customer (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581017000027/R61.htm
61,000104581017000027,segment information schedule of accounts receivable by major customers (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581017000027/R62.htm
62,000104581017000027,segment information schedule of revenue by market (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581017000027/R63.htm
18,000104581017000075,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581017000075/R19.htm
30,000104581017000075,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581017000075/R31.htm
45,000104581017000075,segment information (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581017000075/R46.htm
18,000104581017000123,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581017000123/R19.htm
30,000104581017000123,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581017000123/R31.htm
45,000104581017000123,segment information (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581017000123/R46.htm
18,000104581017000172,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581017000172/R19.htm
30,000104581017000172,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581017000172/R31.htm
45,000104581017000172,segment information (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581017000172/R46.htm
22,000104581018000010,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581018000010/R23.htm
38,000104581018000010,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581018000010/R39.htm
57,000104581018000010,segment information (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581018000010/R58.htm
58,000104581018000010,segment information revenue and long-lived assets by region (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581018000010/R59.htm
59,000104581018000010,segment information schedule of revenue by market (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581018000010/R60.htm
60,000104581018000010,segment information revenue and accounts receivable by major customer (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581018000010/R61.htm
61,000104581018000010,segment information schedule of accounts receivable by major customers (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581018000010/R62.htm
19,000104581018000080,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581018000080/R20.htm
30,000104581018000080,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581018000080/R31.htm
43,000104581018000080,segment information (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581018000080/R44.htm
19,000104581018000114,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581018000114/R20.htm
30,000104581018000114,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581018000114/R31.htm
43,000104581018000114,segment information (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581018000114/R44.htm
19,000104581018000150,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581018000150/R20.htm
30,000104581018000150,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581018000150/R31.htm
54,000104581018000150,segment information (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581018000150/R55.htm
55,000104581018000150,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581018000150/R56.htm
56,000104581018000150,segment information - concentration risk (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581018000150/R57.htm
23,000104581019000023,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000023/R24.htm
38,000104581019000023,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000023/R39.htm
70,000104581019000023,segment information - narrative (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000023/R71.htm
71,000104581019000023,segment information (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000023/R72.htm
72,000104581019000023,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000023/R73.htm
73,000104581019000023,segment information - revenue and long-lived assets by region (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000023/R74.htm
74,000104581019000023,segment information - schedule of revenue by market (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000023/R75.htm
75,000104581019000023,segment information - revenue and accounts receivable by major customer (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000023/R76.htm
21,000104581019000079,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000079/R22.htm
32,000104581019000079,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000079/R33.htm
56,000104581019000079,segment information - summary of segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000079/R57.htm
57,000104581019000079,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000079/R58.htm
58,000104581019000079,segment information - concentration risk (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000079/R59.htm
21,000104581019000144,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000144/R22.htm
32,000104581019000144,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000144/R33.htm
55,000104581019000144,segment information - summary of segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000144/R56.htm
56,000104581019000144,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000144/R57.htm
57,000104581019000144,segment information - concentration risk (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000144/R58.htm
21,000104581019000170,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000170/R22.htm
32,000104581019000170,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000170/R33.htm
55,000104581019000170,segment information - summary of segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000170/R56.htm
56,000104581019000170,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000170/R57.htm
57,000104581019000170,segment information - concentration risk (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000170/R58.htm
24,000104581020000010,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000010/R25.htm
38,000104581020000010,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000010/R39.htm
72,000104581020000010,segment information - narrative (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000010/R73.htm
73,000104581020000010,segment information - reportable segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000010/R74.htm
74,000104581020000010,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000010/R75.htm
75,000104581020000010,segment information - revenue and long-lived assets by region (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000010/R76.htm
76,000104581020000010,segment information - schedule of revenue by market (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000010/R77.htm
77,000104581020000010,segment information - revenue and accounts receivable by major customer (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000010/R78.htm
21,000104581020000065,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000065/R22.htm
33,000104581020000065,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000065/R34.htm
55,000104581020000065,segment information - summary of segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000065/R56.htm
56,000104581020000065,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000065/R57.htm
57,000104581020000065,segment information - concentration risk (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000065/R58.htm
21,000104581020000147,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000147/R22.htm
34,000104581020000147,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000147/R35.htm
59,000104581020000147,segment information - summary of segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000147/R60.htm
60,000104581020000147,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000147/R61.htm
61,000104581020000147,segment information - concentration risk (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000147/R62.htm
21,000104581020000189,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000189/R22.htm
34,000104581020000189,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000189/R35.htm
64,000104581020000189,segment information - summary of segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000189/R65.htm
65,000104581020000189,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000189/R66.htm
66,000104581020000189,segment information - concentration risk (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000189/R67.htm
24,000104581021000010,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000010/R25.htm
38,000104581021000010,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000010/R39.htm
78,000104581021000010,segment information - narrative (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000010/R79.htm
79,000104581021000010,segment information - reportable segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000010/R80.htm
80,000104581021000010,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000010/R81.htm
81,000104581021000010,segment information - revenue and long-lived assets by region (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000010/R82.htm
82,000104581021000010,segment information - schedule of revenue by market (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000010/R83.htm
83,000104581021000010,segment information - revenue and accounts receivable by major customer (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000010/R84.htm
21,000104581021000064,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000064/R22.htm
34,000104581021000064,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000064/R35.htm
63,000104581021000064,segment information - summary of segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000064/R64.htm
64,000104581021000064,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000064/R65.htm
65,000104581021000064,segment information - concentration risk (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000064/R66.htm
21,000104581021000131,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000131/R22.htm
33,000104581021000131,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000131/R34.htm
62,000104581021000131,segment information - summary of segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000131/R63.htm
63,000104581021000131,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000131/R64.htm
64,000104581021000131,segment information - concentration risk (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000131/R65.htm
21,000104581021000163,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000163/R22.htm
34,000104581021000163,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000163/R35.htm
63,000104581021000163,segment information - summary of segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000163/R64.htm
64,000104581021000163,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000163/R65.htm
65,000104581021000163,segment information - concentration risk (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000163/R66.htm
25,000104581022000036,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000036/R26.htm
