accession_number,report_date,form,ixbrl_link,html_link
000119312514383437,2014-09-27,10K,,
000119312515023697,2014-12-27,10Q,,
000119312515153166,2015-03-28,10Q,,
000119312515259935,2015-06-27,10Q,,
000119312515356351,2015-09-26,10K,,
000119312516439878,2015-12-26,10Q,,
000119312516559625,2016-03-26,10Q,,
000162828016017809,2016-06-25,10Q,,
000162828016020309,2016-09-24,10K,,
000162828017000717,2016-12-31,10Q,,
000162828017004790,2017-04-01,10Q,,
000032019317000009,2017-07-01,10Q,,
000032019317000070,2017-09-30,10K,,
000032019318000007,2017-12-30,10Q,,
000032019318000070,2018-03-31,10Q,,
000032019318000100,2018-06-30,10Q,,
000032019318000145,2018-09-29,10K,,
000032019319000010,2018-12-29,10Q,,
000032019319000066,2019-03-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019319000066/a10-qq220193302019.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019319000066/a10-qq220193302019.htm
000032019319000076,2019-06-29,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019319000076/a10-qq320196292019.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019319000076/a10-qq320196292019.htm
000032019319000119,2019-09-28,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019319000119/a10-k20199282019.htm
000032019320000010,2019-12-28,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019320000010/a10-qq1202012282019.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019320000010/a10-qq1202012282019.htm
000032019320000052,2020-03-28,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019320000052/a10-qq220203282020.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019320000052/a10-qq220203282020.htm
000032019320000062,2020-06-27,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019320000062/aapl-20200627.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019320000062/aapl-20200627.htm
000032019320000096,2020-09-26,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019320000096/aapl-20200926.htm
000032019321000010,2020-12-26,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019321000010/aapl-20201226.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019321000010/aapl-20201226.htm
000032019321000056,2021-03-27,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019321000056/aapl-20210327.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019321000056/aapl-20210327.htm
000032019321000065,2021-06-26,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019321000065/aapl-20210626.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019321000065/aapl-20210626.htm
000032019321000105,2021-09-25,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019321000105/aapl-20210925.htm
000032019322000007,2021-12-25,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019322000007/aapl-20211225.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019322000007/aapl-20211225.htm
000032019322000059,2022-03-26,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019322000059/aapl-20220326.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019322000059/aapl-20220326.htm
000032019322000070,2022-06-25,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019322000070/aapl-20220625.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019322000070/aapl-20220625.htm
000032019322000108,2022-09-24,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019322000108/aapl-20220924.htm
000032019323000006,2022-12-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019323000006/aapl-20221231.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000006/aapl-20221231.htm
000032019323000064,2023-04-01,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019323000064/aapl-20230401.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000064/aapl-20230401.htm
000032019323000077,2023-07-01,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019323000077/aapl-20230701.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000077/aapl-20230701.htm
000032019323000106,2023-09-30,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000106/aapl-20230930.htm
000032019324000006,2023-12-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019324000006/aapl-20231230.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000006/aapl-20231230.htm
000032019324000069,2024-03-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019324000069/aapl-20240330.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000069/aapl-20240330.htm
000032019324000081,2024-06-29,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019324000081/aapl-20240629.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000081/aapl-20240629.htm
000032019324000123,2024-09-28,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000123/aapl-20240928.htm
000032019325000008,2024-12-28,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019325000008/aapl-20241228.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000008/aapl-20241228.htm
000032019325000057,2025-03-29,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019325000057/aapl-20250329.htm,https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000057/aapl-20250329.htm
