accession_number,report_date,form,ixbrl_link,html_link
000000248815000067,2015-09-26,10Q,,
000000248816000111,2015-12-26,10K,,
000000248816000124,2016-03-26,10Q,,
000000248816000213,2016-06-25,10Q,,
000000248816000263,2016-09-24,10Q,,
000000248817000043,2016-12-31,10K,,
000000248817000107,2017-04-01,10Q,,
000000248817000156,2017-07-01,10Q,,
000000248817000227,2017-09-30,10Q,,
000000248818000042,2017-12-30,10K,,
000000248818000068,2018-03-31,10Q,,
000000248818000128,2018-06-30,10Q,,
000000248818000189,2018-09-29,10Q,,
000000248819000011,2018-12-29,10K,,
000000248819000045,2019-03-30,10Q,,
000000248819000104,2019-06-29,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248819000104/amd0629201910q.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248819000104/amd0629201910q.htm
000000248819000159,2019-09-28,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248819000159/amd0928201910q.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248819000159/amd0928201910q.htm
000000248820000008,2019-12-28,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248820000008/amdform10-kfy2019.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248820000008/amdform10-kfy2019.htm
000000248820000051,2020-03-28,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248820000051/amdq1fy2010q.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248820000051/amdq1fy2010q.htm
000000248820000103,2020-06-27,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248820000103/amd-20200627.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248820000103/amd-20200627.htm
000000248820000164,2020-09-26,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248820000164/amd-20200926.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248820000164/amd-20200926.htm
000162828021001185,2020-12-26,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000162828021001185/amd-20201226.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000162828021001185/amd-20201226.htm
000000248821000056,2021-03-27,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248821000056/amd-20210327.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248821000056/amd-20210327.htm
000000248821000116,2021-06-26,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248821000116/amd-20210626.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248821000116/amd-20210626.htm
000000248821000178,2021-09-25,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248821000178/amd-20210925.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248821000178/amd-20210925.htm
000000248822000016,2021-12-25,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248822000016/amd-20211225.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248822000016/amd-20211225.htm
000000248822000078,2022-03-26,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248822000078/amd-20220326.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248822000078/amd-20220326.htm
000000248822000123,2022-06-25,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248822000123/amd-20220625.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248822000123/amd-20220625.htm
000000248822000170,2022-09-24,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248822000170/amd-20220924.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248822000170/amd-20220924.htm
000000248823000047,2022-12-31,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248823000047/amd-20221231.htm
000000248823000076,2023-04-01,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248823000076/amd-20230401.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248823000076/amd-20230401.htm
000000248823000139,2023-07-01,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248823000139/amd-20230701.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248823000139/amd-20230701.htm
000000248823000195,2023-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248823000195/amd-20230930.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248823000195/amd-20230930.htm
000000248824000012,2023-12-30,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248824000012/amd-20231230.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000012/amd-20231230.htm
000000248824000056,2024-03-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248824000056/amd-20240330.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000056/amd-20240330.htm
000000248824000123,2024-06-29,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248824000123/amd-20240629.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000123/amd-20240629.htm
000000248824000163,2024-09-28,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248824000163/amd-20240928.htm,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000163/amd-20240928.htm
