accession_number,report_date,form,ixbrl_link,html_link
000110852422000041,2022-07-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1108524/000110852422000041/crm-20220731.htm,https://www.sec.gov/Archives/edgar/data/0001108524/000110852422000041/crm-20220731.htm
000110852422000060,2022-10-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1108524/000110852422000060/crm-20221031.htm,https://www.sec.gov/Archives/edgar/data/0001108524/000110852422000060/crm-20221031.htm
000110852423000011,2023-01-31,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1108524/000110852423000011/crm-20230131.htm,https://www.sec.gov/Archives/edgar/data/0001108524/000110852423000011/crm-20230131.htm
000110852423000023,2023-04-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1108524/000110852423000023/crm-20230430.htm,https://www.sec.gov/Archives/edgar/data/0001108524/000110852423000023/crm-20230430.htm
000110852423000040,2023-07-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1108524/000110852423000040/crm-20230731.htm,https://www.sec.gov/Archives/edgar/data/0001108524/000110852423000040/crm-20230731.htm
000110852423000048,2023-10-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1108524/000110852423000048/crm-20231031.htm,https://www.sec.gov/Archives/edgar/data/0001108524/000110852423000048/crm-20231031.htm
000110852424000005,2024-01-31,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1108524/000110852424000005/crm-20240131.htm,https://www.sec.gov/Archives/edgar/data/0001108524/000110852424000005/crm-20240131.htm
000110852424000009,2024-04-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1108524/000110852424000009/crm-20240430.htm,https://www.sec.gov/Archives/edgar/data/0001108524/000110852424000009/crm-20240430.htm
000110852424000022,2024-07-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1108524/000110852424000022/crm-20240731.htm,https://www.sec.gov/Archives/edgar/data/0001108524/000110852424000022/crm-20240731.htm
000110852424000034,2024-10-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1108524/000110852424000034/crm-20241031.htm,https://www.sec.gov/Archives/edgar/data/0001108524/000110852424000034/crm-20241031.htm
