accession_number,report_date,form,ixbrl_link,html_link
000165204421000057,2021-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204421000057/goog-20210930.htm,https://www.sec.gov/Archives/edgar/data/0001652044/000165204421000057/goog-20210930.htm
000165204422000019,2021-12-31,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204422000019/goog-20211231.htm,https://www.sec.gov/Archives/edgar/data/0001652044/000165204422000019/goog-20211231.htm
000165204422000029,2022-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204422000029/goog-20220331.htm,https://www.sec.gov/Archives/edgar/data/0001652044/000165204422000029/goog-20220331.htm
000165204422000071,2022-06-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204422000071/goog-20220630.htm,https://www.sec.gov/Archives/edgar/data/0001652044/000165204422000071/goog-20220630.htm
000165204422000090,2022-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204422000090/goog-20220930.htm,https://www.sec.gov/Archives/edgar/data/0001652044/000165204422000090/goog-20220930.htm
000165204423000016,2022-12-31,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm,https://www.sec.gov/Archives/edgar/data/0001652044/000165204423000016/goog-20221231.htm
000165204423000045,2023-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204423000045/goog-20230331.htm,https://www.sec.gov/Archives/edgar/data/0001652044/000165204423000045/goog-20230331.htm
000165204423000070,2023-06-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204423000070/goog-20230630.htm,https://www.sec.gov/Archives/edgar/data/0001652044/000165204423000070/goog-20230630.htm
000165204423000094,2023-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204423000094/goog-20230930.htm,https://www.sec.gov/Archives/edgar/data/0001652044/000165204423000094/goog-20230930.htm
000165204424000022,2023-12-31,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,https://www.sec.gov/Archives/edgar/data/0001652044/000165204424000022/goog-20231231.htm
000165204424000053,2024-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204424000053/goog-20240331.htm,https://www.sec.gov/Archives/edgar/data/0001652044/000165204424000053/goog-20240331.htm
000165204424000079,2024-06-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204424000079/goog-20240630.htm,https://www.sec.gov/Archives/edgar/data/0001652044/000165204424000079/goog-20240630.htm
000165204424000118,2024-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204424000118/goog-20240930.htm,https://www.sec.gov/Archives/edgar/data/0001652044/000165204424000118/goog-20240930.htm
000165204425000014,2024-12-31,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,https://www.sec.gov/Archives/edgar/data/0001652044/000165204425000014/goog-20241231.htm
000165204425000043,2025-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204425000043/goog-20250331.htm,https://www.sec.gov/Archives/edgar/data/0001652044/000165204425000043/goog-20250331.htm
