accession_number,report_date,form,ixbrl_link,html_link
000119312519234151,2019-06-30,10Q,,
000119312519290077,2019-09-30,10Q,,
000119312520088778,2019-12-31,10K,,
000119312520141765,2020-03-31,10Q,,
000119312520219190,2020-06-30,10Q,,
000119312520291907,2020-09-30,10Q,,
000119312521089657,2020-12-31,10K,,
000162828021010528,2021-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1773751/000162828021010528/hims-20210331.htm,https://www.sec.gov/Archives/edgar/data/0001773751/000162828021010528/hims-20210331.htm
000177375121000039,2021-06-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1773751/000177375121000039/hims-20210630.htm,https://www.sec.gov/Archives/edgar/data/0001773751/000177375121000039/hims-20210630.htm
000177375121000057,2021-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1773751/000177375121000057/hims-20210930.htm,https://www.sec.gov/Archives/edgar/data/0001773751/000177375121000057/hims-20210930.htm
000177375122000039,2021-12-31,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1773751/000177375122000039/hims-20211231.htm,https://www.sec.gov/Archives/edgar/data/0001773751/000177375122000039/hims-20211231.htm
000177375122000118,2022-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1773751/000177375122000118/hims-20220331.htm,https://www.sec.gov/Archives/edgar/data/0001773751/000177375122000118/hims-20220331.htm
000177375122000165,2022-06-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1773751/000177375122000165/hims-20220630.htm,https://www.sec.gov/Archives/edgar/data/0001773751/000177375122000165/hims-20220630.htm
000177375122000228,2022-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1773751/000177375122000228/hims-20220930.htm,https://www.sec.gov/Archives/edgar/data/0001773751/000177375122000228/hims-20220930.htm
000177375123000029,2022-12-31,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1773751/000177375123000029/hims-20221231.htm,https://www.sec.gov/Archives/edgar/data/0001773751/000177375123000029/hims-20221231.htm
000177375123000125,2023-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1773751/000177375123000125/hims-20230331.htm,https://www.sec.gov/Archives/edgar/data/0001773751/000177375123000125/hims-20230331.htm
000177375123000207,2023-06-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1773751/000177375123000207/hims-20230630.htm,https://www.sec.gov/Archives/edgar/data/0001773751/000177375123000207/hims-20230630.htm
000177375123000278,2023-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1773751/000177375123000278/hims-20230930.htm,https://www.sec.gov/Archives/edgar/data/0001773751/000177375123000278/hims-20230930.htm
000177375124000025,2023-12-31,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1773751/000177375124000025/hims-20231231.htm,https://www.sec.gov/Archives/edgar/data/0001773751/000177375124000025/hims-20231231.htm
000177375124000132,2024-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1773751/000177375124000132/hims-20240331.htm,https://www.sec.gov/Archives/edgar/data/0001773751/000177375124000132/hims-20240331.htm
000177375124000248,2024-06-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1773751/000177375124000248/hims-20240630.htm,https://www.sec.gov/Archives/edgar/data/0001773751/000177375124000248/hims-20240630.htm
000177375124000339,2024-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1773751/000177375124000339/hims-20240930.htm,https://www.sec.gov/Archives/edgar/data/0001773751/000177375124000339/hims-20240930.htm
000177375125000062,2024-12-31,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1773751/000177375125000062/hims-20241231.htm,https://www.sec.gov/Archives/edgar/data/0001773751/000177375125000062/hims-20241231.htm
