CONSOLIDATED STATEMENTS OF COMPREHENSIVE INCOME - USD ($) $ in Millions ; 12 Months Ended,2022-01-30,2021-01-31,2020-01-26
Statement of Comprehensive Income [Abstract],,,
Net income,"$ 9,752","$ 4,332","$ 2,796"
Available-for-sale debt securities:,,,
Net unrealized gain (loss),2,8,
Reclassification adjustments for net realized gain (loss) included in net income,0,0,
Net change in unrealized gain (loss),0,8,
Cash flow hedges:,,,
Net unrealized gain (loss),9,10,
Reclassification adjustments for net realized gain (loss) included in net income,29,9,
Net change in unrealized gain (loss),18,5,
"Other comprehensive income (loss), net of tax",18,13,
Total comprehensive income,"$ 9,722","$ 4,350","$ 2,809"
