CONDENSED CONSOLIDATED STATEMENT OF COMPREHENSIVE INCOME - USD ($) $ in Millions ; 3 Months Ended,2022-05-01,2021-05-02
Statement of Comprehensive Income [Abstract],,
Net income,"$ 1,618","$ 1,912"
Available-for-sale securities:,,
Net change in unrealized loss,0,
Cash flow hedges:,,
Net unrealized loss,,
Reclassification adjustments for net realized gain (loss) included in net income,9,
Net change in unrealized loss,,
"Other comprehensive loss, net of tax",,
Total comprehensive income,"$ 1,565","$ 1,907"
