reportDate,accessionNumber,form
2020-09-30,000110465920128076,10-Q
2020-12-31,000110465921037483,10-K
2021-03-31,000110465921070841,10-Q
2021-06-30,000181887421000037,10-Q
2021-09-30,000181887421000081,10-Q
2021-12-31,000181887422000031,10-K
2022-03-31,000181887422000071,10-Q
2022-06-30,000181887422000185,10-Q
2022-09-30,000181887422000241,10-Q
2022-12-31,000181887423000018,10-K
2023-03-31,000181887423000095,10-Q
2023-06-30,000181887423000144,10-Q
2023-09-30,000181887423000173,10-Q
2023-12-31,000181887424000026,10-K
