accession_number,report_date,form,ixbrl_link,html_link
000179525020000005,2020-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525020000005/msgentertainmentcorp10.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525020000005/msgentertainmentcorp10.htm
000179525020000011,2020-06-30,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525020000011/msge0630202010k.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525020000011/msge0630202010k.htm
000179525020000017,2020-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525020000017/msge-20200930.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525020000017/msge-20200930.htm
000179525021000004,2020-12-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525021000004/msge-20201231.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525021000004/msge-20201231.htm
000179525021000009,2021-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525021000009/msge-20210331.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525021000009/msge-20210331.htm
000179525021000015,2021-06-30,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525021000015/msg-20210630.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525021000015/msg-20210630.htm
000179525021000019,2021-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525021000019/msge-20210930.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525021000019/msge-20210930.htm
000179525022000003,2021-12-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525022000003/msge-20211231.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525022000003/msge-20211231.htm
000179525022000009,2022-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525022000009/msge-20220331.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525022000009/msge-20220331.htm
000179525022000013,2022-06-30,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525022000013/msg-20220630.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525022000013/msg-20220630.htm
000179525022000017,2022-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525022000017/msge-20220930.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525022000017/msge-20220930.htm
000179525023000007,2022-12-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525023000007/msge-20221231.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525023000007/msge-20221231.htm
000179525023000014,2023-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525023000014/sphr-20230331.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525023000014/sphr-20230331.htm
000179525023000017,2023-06-30,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525023000017/sphr-20230630.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525023000017/sphr-20230630.htm
000179525023000023,2023-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525023000023/sphr-20230930.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525023000023/sphr-20230930.htm
000179525024000009,2023-12-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525024000009/sphr-20231231.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525024000009/sphr-20231231.htm
000179525024000018,2024-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525024000018/sphr-20240331.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525024000018/sphr-20240331.htm
000179525024000026,2024-06-30,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525024000026/sphr-20240630.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525024000026/sphr-20240630.htm
000179525024000042,2024-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1795250/000179525024000042/sphr-20240930.htm,https://www.sec.gov/Archives/edgar/data/0001795250/000179525024000042/sphr-20240930.htm
