accession_number,report_date,form,ixbrl_link,html_link
000162828019007524,2019-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000162828019007524/fy2019q1financialstate.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000162828019007524/fy2019q1financialstate.htm
000154315119000009,2019-06-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315119000009/fy2019q2financialstate.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315119000009/fy2019q2financialstate.htm
000154315119000017,2019-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315119000017/fy2019q3financialstate.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315119000017/fy2019q3financialstate.htm
000154315120000010,2019-12-31,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315120000010/fy2019q410kfinancialst.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315120000010/fy2019q410kfinancialst.htm
000154315120000022,2020-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315120000022/fy2020q1financialstate.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315120000022/fy2020q1financialstate.htm
000154315120000029,2020-06-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315120000029/uber-20200630.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315120000029/uber-20200630.htm
000162828020015936,2020-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000162828020015936/uber-20200930.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000162828020015936/uber-20200930.htm
000154315121000014,2020-12-31,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315121000014/uber-20201231.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315121000014/uber-20201231.htm
000154315121000029,2021-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315121000029/uber-20210331.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315121000029/uber-20210331.htm
000154315121000038,2021-06-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315121000038/uber-20210630.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315121000038/uber-20210630.htm
000154315121000047,2021-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315121000047/uber-20210930.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315121000047/uber-20210930.htm
000154315122000008,2021-12-31,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315122000008/uber-20211231.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315122000008/uber-20211231.htm
000154315122000015,2022-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315122000015/uber-20220331.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315122000015/uber-20220331.htm
000154315122000024,2022-06-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315122000024/uber-20220630.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315122000024/uber-20220630.htm
000154315122000034,2022-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315122000034/uber-20220930.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315122000034/uber-20220930.htm
000154315123000010,2022-12-31,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315123000010/uber-20221231.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315123000010/uber-20221231.htm
000154315123000016,2023-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315123000016/uber-20230331.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315123000016/uber-20230331.htm
000154315123000025,2023-06-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315123000025/uber-20230630.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315123000025/uber-20230630.htm
000154315123000039,2023-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315123000039/uber-20230930.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315123000039/uber-20230930.htm
000154315124000012,2023-12-31,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315124000012/uber-20231231.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315124000012/uber-20231231.htm
000154315124000020,2024-03-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315124000020/uber-20240331.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315124000020/uber-20240331.htm
000154315124000027,2024-06-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315124000027/uber-20240630.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315124000027/uber-20240630.htm
000154315124000036,2024-09-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1543151/000154315124000036/uber-20240930.htm,https://www.sec.gov/Archives/edgar/data/0001543151/000154315124000036/uber-20240930.htm
